"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","407","Create product with invalid data fails","tests.products","Tue Nov 04 18:03:27 UTC 2025","passed","Tue Nov 04 18:03:27 UTC 2025","TestProducts","test_products","",""
"","83","Login with correct credentials","tests.authentication","Tue Nov 04 18:03:20 UTC 2025","passed","Tue Nov 04 18:03:20 UTC 2025","TestAuthentication","test_authentication","",""
"","31","Update product with invalid data fails","tests.products","Tue Nov 04 18:03:29 UTC 2025","passed","Tue Nov 04 18:03:29 UTC 2025","TestProducts","test_products","",""
"","305","Create user with invalid data fails","tests.users","Tue Nov 04 18:03:30 UTC 2025","passed","Tue Nov 04 18:03:30 UTC 2025","TestUsers","test_users","",""
"","30","Delete product","tests.products","Tue Nov 04 18:03:32 UTC 2025","passed","Tue Nov 04 18:03:32 UTC 2025","TestProducts","test_products","",""
"","376","Create user with invalid data fails","tests.users","Tue Nov 04 18:03:31 UTC 2025","passed","Tue Nov 04 18:03:31 UTC 2025","TestUsers","test_users","",""
"","284","Create category with invalid data fails","tests.categories","Tue Nov 04 18:03:22 UTC 2025","passed","Tue Nov 04 18:03:22 UTC 2025","TestCategories","test_categories","",""
"","95","Upload file","tests.files","Tue Nov 04 18:03:23 UTC 2025","passed","Tue Nov 04 18:03:23 UTC 2025","TestFiles","test_files","",""
"","403","Update category","tests.categories","Tue Nov 04 18:03:21 UTC 2025","passed","Tue Nov 04 18:03:21 UTC 2025","TestCategories","test_categories","",""
"","300","Create product with invalid data fails","tests.products","Tue Nov 04 18:03:24 UTC 2025","passed","Tue Nov 04 18:03:24 UTC 2025","TestProducts","test_products","",""
"","30","Non-existing email is available","tests.users","Tue Nov 04 18:03:33 UTC 2025","failed","Tue Nov 04 18:03:33 UTC 2025","TestUsers","test_users","",""
"","31","Update product with invalid data fails","tests.products","Tue Nov 04 18:03:28 UTC 2025","passed","Tue Nov 04 18:03:28 UTC 2025","TestProducts","test_products","",""
"","91","Retrieving an authenticated user’s profile","tests.authentication","Tue Nov 04 18:03:21 UTC 2025","passed","Tue Nov 04 18:03:21 UTC 2025","TestAuthentication","test_authentication","",""
"","35","Update category with invalid data fails","tests.categories","Tue Nov 04 18:03:22 UTC 2025","passed","Tue Nov 04 18:03:22 UTC 2025","TestCategories","test_categories","",""
"","302","Create user with invalid data fails","tests.users","Tue Nov 04 18:03:30 UTC 2025","passed","Tue Nov 04 18:03:31 UTC 2025","TestUsers","test_users","",""
"","82","Get locations with radius","tests.locations","Tue Nov 04 18:03:24 UTC 2025","passed","Tue Nov 04 18:03:24 UTC 2025","TestLocations","test_locations","",""
"","32","Update user with invalid data fails","tests.users","Tue Nov 04 18:03:33 UTC 2025","passed","Tue Nov 04 18:03:33 UTC 2025","TestUsers","test_users","",""
"","30","Get product by slug","tests.products","Tue Nov 04 18:03:25 UTC 2025","failed","Tue Nov 04 18:03:25 UTC 2025","TestProducts","test_products","",""
"","115","Refreshing tokens with a valid token returns a new token pair","tests.authentication","Tue Nov 04 18:03:21 UTC 2025","passed","Tue Nov 04 18:03:21 UTC 2025","TestAuthentication","test_authentication","",""
"","392","Update category with invalid data fails","tests.categories","Tue Nov 04 18:03:22 UTC 2025","broken","Tue Nov 04 18:03:22 UTC 2025","TestCategories","test_categories","",""
"","177","Create user with invalid data fails","tests.users","Tue Nov 04 18:03:30 UTC 2025","passed","Tue Nov 04 18:03:30 UTC 2025","TestUsers","test_users","",""
"","167","Update user with invalid data fails","tests.users","Tue Nov 04 18:03:32 UTC 2025","broken","Tue Nov 04 18:03:33 UTC 2025","TestUsers","test_users","",""
"","31","Update product with invalid data fails","tests.products","Tue Nov 04 18:03:28 UTC 2025","passed","Tue Nov 04 18:03:28 UTC 2025","TestProducts","test_products","",""
"","109","Get user with an invalid ID fails","tests.users","Tue Nov 04 18:03:31 UTC 2025","passed","Tue Nov 04 18:03:32 UTC 2025","TestUsers","test_users","",""
"","31","Get category by ID","tests.categories","Tue Nov 04 18:03:20 UTC 2025","passed","Tue Nov 04 18:03:20 UTC 2025","TestCategories","test_categories","",""
"","32","Update user with invalid data fails","tests.users","Tue Nov 04 18:03:32 UTC 2025","passed","Tue Nov 04 18:03:32 UTC 2025","TestUsers","test_users","",""
"","28","Update category with invalid data fails","tests.categories","Tue Nov 04 18:03:23 UTC 2025","failed","Tue Nov 04 18:03:23 UTC 2025","TestCategories","test_categories","",""
"","110","Getting categories","tests.categories","Tue Nov 04 18:03:23 UTC 2025","passed","Tue Nov 04 18:03:23 UTC 2025","TestCategories","test_categories","",""
"","92","Get locations by origin","tests.locations","Tue Nov 04 18:03:24 UTC 2025","passed","Tue Nov 04 18:03:24 UTC 2025","TestLocations","test_locations","",""
"","265","Update user","tests.users","Tue Nov 04 18:03:32 UTC 2025","passed","Tue Nov 04 18:03:32 UTC 2025","TestUsers","test_users","",""
"","29","Delete category","tests.categories","Tue Nov 04 18:03:23 UTC 2025","passed","Tue Nov 04 18:03:23 UTC 2025","TestCategories","test_categories","",""
"","196","Update product with invalid data fails","tests.products","Tue Nov 04 18:03:29 UTC 2025","failed","Tue Nov 04 18:03:29 UTC 2025","TestProducts","test_products","",""
"","296","Create product","tests.products","Tue Nov 04 18:03:24 UTC 2025","passed","Tue Nov 04 18:03:24 UTC 2025","TestProducts","test_products","",""
"","394","Create user with invalid data fails","tests.users","Tue Nov 04 18:03:31 UTC 2025","passed","Tue Nov 04 18:03:31 UTC 2025","TestUsers","test_users","",""
"","466","Update product","tests.products","Tue Nov 04 18:03:26 UTC 2025","failed","Tue Nov 04 18:03:26 UTC 2025","TestProducts","test_products","",""
"","133","Refreshing tokens with an invalid token returns an error","tests.authentication","Tue Nov 04 18:03:21 UTC 2025","passed","Tue Nov 04 18:03:22 UTC 2025","TestAuthentication","test_authentication","",""
"","33","Update user with invalid data fails","tests.users","Tue Nov 04 18:03:33 UTC 2025","passed","Tue Nov 04 18:03:33 UTC 2025","TestUsers","test_users","",""
"","86","Getting users","tests.users","Tue Nov 04 18:03:33 UTC 2025","passed","Tue Nov 04 18:03:33 UTC 2025","TestUsers","test_users","",""
"","83","Get locations","tests.locations","Tue Nov 04 18:03:23 UTC 2025","passed","Tue Nov 04 18:03:23 UTC 2025","TestLocations","test_locations","",""
"","31","Get user by ID","tests.users","Tue Nov 04 18:03:32 UTC 2025","passed","Tue Nov 04 18:03:32 UTC 2025","TestUsers","test_users","",""
"","213","Create product with invalid data fails","tests.products","Tue Nov 04 18:03:25 UTC 2025","passed","Tue Nov 04 18:03:25 UTC 2025","TestProducts","test_products","",""
"","30","Get product by ID","tests.products","Tue Nov 04 18:03:28 UTC 2025","failed","Tue Nov 04 18:03:28 UTC 2025","TestProducts","test_products","",""
"","317","Create category with invalid data fails","tests.categories","Tue Nov 04 18:03:20 UTC 2025","passed","Tue Nov 04 18:03:20 UTC 2025","TestCategories","test_categories","",""
"","120","Login with invalid credentials","tests.authentication","Tue Nov 04 18:03:20 UTC 2025","passed","Tue Nov 04 18:03:20 UTC 2025","TestAuthentication","test_authentication","",""
"","29","Get file","tests.files","Tue Nov 04 18:03:23 UTC 2025","passed","Tue Nov 04 18:03:23 UTC 2025","TestFiles","test_files","",""
"","317","Create product with invalid data fails","tests.products","Tue Nov 04 18:03:26 UTC 2025","passed","Tue Nov 04 18:03:26 UTC 2025","TestProducts","test_products","",""
"","235","Create product with invalid data fails","tests.products","Tue Nov 04 18:03:27 UTC 2025","passed","Tue Nov 04 18:03:28 UTC 2025","TestProducts","test_products","",""
"","227","Update product with invalid data fails","tests.products","Tue Nov 04 18:03:27 UTC 2025","failed","Tue Nov 04 18:03:27 UTC 2025","TestProducts","test_products","",""
"","339","Create product with invalid data fails","tests.products","Tue Nov 04 18:03:23 UTC 2025","passed","Tue Nov 04 18:03:23 UTC 2025","TestProducts","test_products","",""
"","37","Get category by slug","tests.categories","Tue Nov 04 18:03:21 UTC 2025","passed","Tue Nov 04 18:03:21 UTC 2025","TestCategories","test_categories","",""
"","413","Create category with invalid data fails","tests.categories","Tue Nov 04 18:03:19 UTC 2025","passed","Tue Nov 04 18:03:20 UTC 2025","TestCategories","test_categories","",""
"","32","Existing email is unavailable","tests.users","Tue Nov 04 18:03:33 UTC 2025","passed","Tue Nov 04 18:03:33 UTC 2025","TestUsers","test_users","",""
"","88","Get locations with limit","tests.locations","Tue Nov 04 18:03:24 UTC 2025","passed","Tue Nov 04 18:03:24 UTC 2025","TestLocations","test_locations","",""
"","267","Create category","tests.categories","Tue Nov 04 18:03:22 UTC 2025","passed","Tue Nov 04 18:03:22 UTC 2025","TestCategories","test_categories","",""
"","32","Update product with invalid data fails","tests.products","Tue Nov 04 18:03:30 UTC 2025","passed","Tue Nov 04 18:03:30 UTC 2025","TestProducts","test_products","",""
"","150","Getting products","tests.products","Tue Nov 04 18:03:29 UTC 2025","passed","Tue Nov 04 18:03:29 UTC 2025","TestProducts","test_products","",""
"","336","Create product with invalid data fails","tests.products","Tue Nov 04 18:03:24 UTC 2025","passed","Tue Nov 04 18:03:25 UTC 2025","TestProducts","test_products","",""
"","45","Update user with invalid data fails","tests.users","Tue Nov 04 18:03:33 UTC 2025","passed","Tue Nov 04 18:03:33 UTC 2025","TestUsers","test_users","",""
"","223","Create user","tests.users","Tue Nov 04 18:03:29 UTC 2025","passed","Tue Nov 04 18:03:30 UTC 2025","TestUsers","test_users","",""
"","195","Update product with invalid data fails","tests.products","Tue Nov 04 18:03:31 UTC 2025","failed","Tue Nov 04 18:03:31 UTC 2025","TestProducts","test_products","",""
