25-10-31 21:07:22 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-10-31 21:07:23 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-10-31 21:07:23 |   INFO   |        HTTP_CLIENT        | Make GET request to https://api.escuelajs.co/api/v1/categories/563
25-10-31 21:07:23 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/categories/563
25-10-31 21:07:23 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-10-31 21:07:23 |   INFO   |   CATEGORYS_ASSERTIONS    | Check get category response
25-10-31 21:07:23 |   INFO   |   CATEGORYS_ASSERTIONS    | Check category
25-10-31 21:07:23 |   INFO   |      BASE_ASSERTIONS      | Check that "id" equals to 563
25-10-31 21:07:23 |   INFO   |      BASE_ASSERTIONS      | Check that "name" equals to Entire low course
25-10-31 21:07:23 |   INFO   |      BASE_ASSERTIONS      | Check that "slug" equals to entire-low-course
25-10-31 21:07:23 |   INFO   |      BASE_ASSERTIONS      | Check that "image" equals to https://www.anderson.com/listhome.asp
25-10-31 21:07:23 |   INFO   |      BASE_ASSERTIONS      | Check that "creation_at" equals to 2025-10-31 18:07:23+00:00
25-10-31 21:07:23 |   INFO   |      BASE_ASSERTIONS      | Check that "updated_at" equals to 2025-10-31 18:07:23+00:00
25-10-31 21:07:23 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
